project,codebase_commit,file_path,line,rule_id,base_n,after_n,message
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1074,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'sum' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1076,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'lx' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1096,MEM31-C,3,1,"Memory leak: 'BI' allocated with 'crypto_ec_key_get_public_key' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1096,MEM31-C,3,1,"Memory leak: 'sum' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1096,MEM31-C,3,1,"Memory leak: 'lx' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1118,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'lx' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1138,MEM31-C,3,2,"Memory leak: 'BR' allocated with 'crypto_ec_key_get_public_key' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1138,MEM31-C,3,2,"Memory leak: 'PR' allocated with 'crypto_ec_key_get_public_key' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1138,MEM31-C,3,2,"Memory leak: 'lx' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1733,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'sum' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1781,MEM31-C,2,1,"Memory leak: 'sum' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,1781,MEM31-C,2,1,"Memory leak: 'CI' allocated with 'crypto_ec_key_get_public_key' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,2253,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'bn' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,2282,MEM31-C,1,0,"Memory leak: 'bn' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,2297,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'bn' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,2330,MEM31-C,2,1,"Memory leak: 'pp' allocated with 'crypto_ec_key_get_public_key' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dpp_crypto.c,2330,MEM31-C,2,1,"Memory leak: 'bn' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,63,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'tmp' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,86,MEM31-C,1,0,"Memory leak: 'tmp' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,95,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'tmp@95:8' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,96,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'pm1' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,108,MEM31-C,1,0,"Memory leak: 'pm1' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,139,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'num' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,181,MEM31-C,1,0,"Memory leak: 'num' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,235,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'tmp' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/dragonfly.c,251,MEM31-C,1,0,"Memory leak: 'tmp' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,479,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'pwe' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,540,MEM31-C,1,0,"Memory leak: 'pwe' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,659,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'u2' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,660,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 't1' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,661,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 't2' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,663,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 't' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,668,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'x1a' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,669,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'x1b' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,670,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'x2' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,671,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'gx1' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,672,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'gx2' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,781,MEM31-C,1,0,"Memory allocated with 'crypto_bignum_init' for variable 'y' is not freed"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 'gx2' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 'y' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 'x1a' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 't1' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 't2' allocated with 'crypto_bignum_init' is not freed before return"
hostap,dcee60436390dd34731560657c4257c3b4c839a6,src/common/sae.c,829,MEM31-C,10,0,"Memory leak: 'gx1' allocated with 'crypto_bignum_init' is not freed before return"
